Name,Active,IFN,Ne_lact,Ne_growth,Ne_maint,DM,CP
"triticale_hay",0,1-02-243,1.23,0.75,1.33,0.84,13.30
"triticale_silage",0,3-26-208,1.18,0.69,1.25,0.84,13.80
"urea",0,UAD340,0.00,0.00,0.00,1.00,287.00
"wheat",0,4-13-245,1.99,1.47,2.15,0.89,14.20
"wheat_bran",0,4-05-190,1.61,1.12,1.74,0.89,17.30
"wheat_hay",0,1-05-170,1.01,0.51,1.06,0.87,9.40
"wheat_midds",0,4-05-205,1.67,1.18,1.80,0.90,18.50
"wheat_mill_run",0,UAD112,1.83,1.26,0.00,0.88,18.60
"wheat_silage",0,3-21-865,1.16,0.67,1.24,0.84,12.00
"wheat_straw",0,1-05-175,0.82,0.29,0.83,0.93,4.80
"whey",0,4-08-134,1.86,1.41,1.96,0.97,14.60
"yeast",0,UAD325,1.83,1.26,0.00,0.95,48.00
